dep,sexe,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
88,1,2021-02-08,92,9,,,,886,348
88,2,2021-02-08,114,4,,,,965,271
89,0,2021-02-08,185,13,,,,1374,352
89,1,2021-02-08,93,9,,,,671,199
89,2,2021-02-08,89,4,,,,696,151
90,0,2021-02-08,120,10,,,,1431,488
90,1,2021-02-08,58,6,,,,731,279
90,2,2021-02-08,62,4,,,,700,209
91,0,2021-02-08,719,69,,,,5737,1234
91,1,2021-02-08,319,48,,,,2850,661
91,2,2021-02-08,373,21,,,,2775,554
92,0,2021-02-08,897,108,,,,9292,1852
92,1,2021-02-08,409,75,,,,4933,1106
92,2,2021-02-08,474,33,,,,4325,739
93,0,2021-02-08,763,94,,,,8368,1673
93,1,2021-02-08,380,53,,,,4590,1033
93,2,2021-02-08,370,39,,,,3719,631
94,0,2021-02-08,636,70,,,,9015,2086
94,1,2021-02-08,299,45,,,,4580,1189
94,2,2021-02-08,335,25,,,,4376,881
95,0,2021-02-08,463,46,,,,5639,1340
95,1,2021-02-08,218,34,,,,3031,823
95,2,2021-02-08,241,12,,,,2591,513
971,0,2021-02-08,51,6,,,,806,171
971,1,2021-02-08,31,4,,,,459,103
971,2,2021-02-08,20,2,,,,345,68
972,0,2021-02-08,12,3,,,,393,45
972,1,2021-02-08,5,2,,,,199,30
972,2,2021-02-08,7,1,,,,193,15
973,0,2021-02-08,34,12,,,,2167,76
973,1,2021-02-08,20,9,,,,866,51
973,2,2021-02-08,14,3,,,,1301,25
974,0,2021-02-08,40,9,,,,811,56
974,1,2021-02-08,27,7,,,,391,28
974,2,2021-02-08,12,2,,,,419,28
976,0,2021-02-08,105,21,,,,669,50
976,1,2021-02-08,40,8,,,,325,31
976,2,2021-02-08,62,12,,,,336,19
978,0,2021-02-08,0,0,,,,0,0
978,1,2021-02-08,0,0,,,,0,0
01,0,2021-02-09,239,18,,,,1936,479
01,1,2021-02-09,123,9,,,,933,284
01,2,2021-02-09,115,9,,,,986,192
02,0,2021-02-09,304,28,,,,2553,724
02,1,2021-02-09,150,21,,,,1176,409
02,2,2021-02-09,149,6,,,,1366,313
03,0,2021-02-09,243,13,,,,1379,442
03,1,2021-02-09,117,9,,,,634,250
03,2,2021-02-09,124,4,,,,730,183
04,0,2021-02-09,192,7,,,,686,164
04,1,2021-02-09,97,4,,,,312,100
04,2,2021-02-09,91,3,,,,349,58
05,0,2021-02-09,146,7,,,,740,181
05,1,2021-02-09,66,6,,,,373,115
05,2,2021-02-09,79,1,,,,362,66
06,0,2021-02-09,741,96,,,,3607,905
06,1,2021-02-09,354,72,,,,1785,526
06,2,2021-02-09,377,24,,,,1779,369
07,0,2021-02-09,207,12,,,,1392,376
07,1,2021-02-09,96,7,,,,632,231
07,2,2021-02-09,110,5,,,,730,142
08,0,2021-02-09,104,11,,,,776,277
08,1,2021-02-09,45,7,,,,393,164
08,2,2021-02-09,59,4,,,,374,112
09,0,2021-02-09,75,9,,,,190,47
09,1,2021-02-09,36,5,,,,88,27
09,2,2021-02-09,39,4,,,,102,20
10,0,2021-02-09,80,9,,,,1284,290
10,1,2021-02-09,50,7,,,,657,185
10,2,2021-02-09,30,2,,,,623,103
11,0,2021-02-09,187,16,,,,668,207
11,1,2021-02-09,90,11,,,,336,128
11,2,2021-02-09,80,5,,,,331,75
12,0,2021-02-09,83,2,,,,610,154
12,1,2021-02-09,44,2,,,,302,86
12,2,2021-02-09,36,0,,,,299,68
13,0,2021-02-09,1617,260,,,,13164,2342
13,1,2021-02-09,822,175,,,,6711,1377
13,2,2021-02-09,781,82,,,,6371,953
14,0,2021-02-09,211,36,,,,1392,338
14,1,2021-02-09,106,28,,,,662,205
14,2,2021-02-09,101,7,,,,725,131
15,0,2021-02-09,71,5,,,,375,87
15,1,2021-02-09,40,3,,,,179,46
15,2,2021-02-09,30,2,,,,196,39
16,0,2021-02-09,49,5,,,,317,82
16,1,2021-02-09,21,3,,,,169,47
16,2,2021-02-09,27,2,,,,146,33
17,0,2021-02-09,180,25,,,,584,179
17,1,2021-02-09,98,23,,,,321,117
