dep,sexe,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
61,2,2022-11-26,56,1,28.0,27.0,0.0,2091,253
62,0,2022-11-26,228,12,114.0,86.0,16.0,14767,2617
62,1,2022-11-26,103,5,55.0,31.0,12.0,6923,1383
62,2,2022-11-26,118,7,56.0,51.0,4.0,7657,1209
63,0,2022-11-26,188,4,132.0,44.0,8.0,6164,1174
63,1,2022-11-26,83,4,59.0,15.0,5.0,2963,662
63,2,2022-11-26,98,0,67.0,29.0,2.0,3151,508
64,0,2022-11-26,170,7,82.0,74.0,7.0,5668,851
64,1,2022-11-26,90,4,44.0,39.0,3.0,2867,471
64,2,2022-11-26,78,3,38.0,33.0,4.0,2772,378
65,0,2022-11-26,113,5,70.0,29.0,9.0,3408,443
65,1,2022-11-26,55,5,34.0,11.0,5.0,1637,229
65,2,2022-11-26,58,0,36.0,18.0,4.0,1760,214
66,0,2022-11-26,125,9,57.0,26.0,33.0,4574,829
66,1,2022-11-26,58,4,23.0,12.0,19.0,2355,484
66,2,2022-11-26,64,5,33.0,14.0,12.0,2198,342
67,0,2022-11-26,237,24,131.0,71.0,11.0,13345,2388
67,1,2022-11-26,106,13,61.0,26.0,6.0,6709,1327
67,2,2022-11-26,128,10,69.0,45.0,4.0,6582,1050
68,0,2022-11-26,265,8,158.0,89.0,10.0,12762,2203
68,1,2022-11-26,113,6,73.0,30.0,4.0,6237,1252
68,2,2022-11-26,150,2,85.0,58.0,5.0,6485,946
69,0,2022-11-26,431,45,290.0,69.0,27.0,26441,4383
69,1,2022-11-26,181,26,112.0,31.0,12.0,12910,2560
69,2,2022-11-26,230,18,162.0,36.0,14.0,13201,1776
70,0,2022-11-26,43,3,27.0,10.0,3.0,2613,405
70,1,2022-11-26,23,3,13.0,5.0,2.0,1291,233
70,2,2022-11-26,20,0,14.0,5.0,1.0,1316,171
71,0,2022-11-26,201,5,135.0,56.0,5.0,9104,1492
71,1,2022-11-26,94,5,65.0,21.0,3.0,4218,821
71,2,2022-11-26,107,0,70.0,35.0,2.0,4810,662
72,0,2022-11-26,124,3,95.0,26.0,0.0,6050,879
72,1,2022-11-26,63,3,53.0,7.0,0.0,2909,503
72,2,2022-11-26,60,0,41.0,19.0,0.0,3129,374
73,0,2022-11-26,96,6,63.0,15.0,12.0,6602,1031
73,1,2022-11-26,44,1,27.0,7.0,9.0,3250,589
73,2,2022-11-26,51,5,35.0,8.0,3.0,3321,439
74,0,2022-11-26,194,8,124.0,57.0,5.0,9998,1524
74,1,2022-11-26,91,7,58.0,23.0,3.0,5053,899
74,2,2022-11-26,102,1,65.0,34.0,2.0,4873,610
75,0,2022-11-26,1075,79,689.0,298.0,9.0,36741,6267
75,1,2022-11-26,459,52,289.0,114.0,4.0,18892,3850
75,2,2022-11-26,604,27,393.0,179.0,5.0,17549,2382
76,0,2022-11-26,359,17,188.0,111.0,43.0,14865,2303
76,1,2022-11-26,156,7,86.0,45.0,18.0,7089,1256
76,2,2022-11-26,198,9,102.0,65.0,22.0,7673,1035
77,0,2022-11-26,312,21,126.0,159.0,6.0,16330,2919
77,1,2022-11-26,146,14,67.0,62.0,3.0,8045,1638
77,2,2022-11-26,165,7,58.0,97.0,3.0,8195,1262
78,0,2022-11-26,638,36,405.0,170.0,27.0,14751,2578
78,1,2022-11-26,294,25,183.0,75.0,11.0,7181,1504
78,2,2022-11-26,330,11,212.0,93.0,14.0,7465,1068
79,0,2022-11-26,120,10,96.0,13.0,1.0,3118,438
79,1,2022-11-26,55,6,42.0,7.0,0.0,1450,249
79,2,2022-11-26,64,4,53.0,6.0,1.0,1642,186
80,0,2022-11-26,202,7,118.0,70.0,7.0,5226,1201
80,1,2022-11-26,92,5,60.0,23.0,4.0,2573,673
80,2,2022-11-26,107,2,56.0,47.0,2.0,2545,508
81,0,2022-11-26,44,2,19.0,22.0,1.0,3275,624
81,1,2022-11-26,22,2,8.0,12.0,0.0,1641,376
81,2,2022-11-26,21,0,10.0,10.0,1.0,1618,247
82,0,2022-11-26,71,1,28.0,42.0,0.0,2373,392
82,1,2022-11-26,35,0,14.0,21.0,0.0,1244,205
82,2,2022-11-26,36,1,14.0,21.0,0.0,1102,179
83,0,2022-11-26,291,14,158.0,117.0,2.0,13864,2651
83,1,2022-11-26,130,7,76.0,46.0,1.0,6833,1531
83,2,2022-11-26,157,6,80.0,70.0,1.0,6890,1101
84,0,2022-11-26,169,1,111.0,56.0,1.0,9527,1559
84,1,2022-11-26,76,1,52.0,23.0,0.0,4641,877
84,2,2022-11-26,90,0,58.0,31.0,1.0,4779,659
85,0,2022-11-26,41,4,29.0,7.0,1.0,3817,538
85,1,2022-11-26,20,2,14.0,4.0,0.0,1915,333
85,2,2022-11-26,21,2,15.0,3.0,1.0,1797,185
86,0,2022-11-26,82,1,60.0,21.0,0.0,3874,497
86,1,2022-11-26,47,1,37.0,9.0,0.0,1956,281
86,2,2022-11-26,35,0,23.0,12.0,0.0,1893,212
87,0,2022-11-26,51,1,40.0,10.0,0.0,2362,488
87,1,2022-11-26,22,0,19.0,3.0,0.0,1111,285
87,2,2022-11-26,29,1,21.0,7.0,0.0,1239,202
88,0,2022-11-26,111,4,88.0,19.0,0.0,6178,1148
88,1,2022-11-26,44,3,38.0,3.0,0.0,2856,623
88,2,2022-11-26,65,1,48.0,16.0,0.0,3286,519
89,0,2022-11-26,145,5,89.0,51.0,0.0,4903,946
89,1,2022-11-26,55,3,35.0,17.0,0.0,2306,519
89,2,2022-11-26,88,2,54.0,32.0,0.0,2552,421
90,0,2022-11-26,74,5,55.0,14.0,0.0,4540,933
90,1,2022-11-26,40,2,33.0,5.0,0.0,2228,546
90,2,2022-11-26,34,3,22.0,9.0,0.0,2310,387
91,0,2022-11-26,353,19,151.0,167.0,16.0,16933,2642
91,1,2022-11-26,135,13,70.0,49.0,3.0,7982,1453
91,2,2022-11-26,208,6,77.0,112.0,13.0,8198,1118
92,0,2022-11-26,755,58,366.0,304.0,27.0,23769,3584
92,1,2022-11-26,347,40,180.0,120.0,7.0,11946,2057
92,2,2022-11-26,370,17,175.0,163.0,15.0,11589,1499
93,0,2022-11-26,951,45,357.0,514.0,35.0,20471,3168
93,1,2022-11-26,437,29,160.0,235.0,13.0,10406,1840
93,2,2022-11-26,489,15,185.0,276.0,13.0,9771,1287
94,0,2022-11-26,611,31,351.0,194.0,35.0,22907,3956
94,1,2022-11-26,256,10,149.0,78.0,19.0,11213,2217
94,2,2022-11-26,335,21,192.0,107.0,15.0,11398,1697
95,0,2022-11-26,348,11,196.0,132.0,9.0,15637,2745
95,1,2022-11-26,147,7,89.0,46.0,5.0,7823,1624
95,2,2022-11-26,199,4,107.0,84.0,4.0,7666,1101
971,0,2022-11-26,31,4,22.0,5.0,0.0,5186,1102
971,1,2022-11-26,11,3,8.0,0.0,0.0,2636,614
971,2,2022-11-26,20,1,14.0,5.0,0.0,2520,484
972,0,2022-11-26,48,3,37.0,8.0,0.0,4506,1073
972,1,2022-11-26,29,3,21.0,5.0,0.0,2182,590
972,2,2022-11-26,17,0,14.0,3.0,0.0,2287,475
973,0,2022-11-26,23,2,19.0,2.0,0.0,6159,402
973,1,2022-11-26,4,1,2.0,1.0,0.0,2366,235
973,2,2022-11-26,17,1,15.0,1.0,0.0,3764,165
974,0,2022-11-26,104,7,22.0,75.0,0.0,8369,943
974,1,2022-11-26,53,4,13.0,36.0,0.0,3911,523
974,2,2022-11-26,49,3,8.0,38.0,0.0,4404,414
976,0,2022-11-26,8,0,8.0,0.0,0.0,1703,163
976,1,2022-11-26,5,0,5.0,0.0,0.0,709,100
976,2,2022-11-26,3,0,3.0,0.0,0.0,969,61
978,0,2022-11-26,0,0,0.0,0.0,0.0,0,0
978,1,2022-11-26,0,0,0.0,0.0,0.0,0,0
01,0,2022-11-27,85,2,42.0,39.0,2.0,4526,814
01,1,2022-11-27,34,0,18.0,15.0,1.0,2213,474
01,2,2022-11-27,50,2,24.0,23.0,1.0,2278,337
02,0,2022-11-27,119,7,63.0,45.0,4.0,7708,1548
02,1,2022-11-27,61,6,30.0,24.0,1.0,3659,833
02,2,2022-11-27,58,1,33.0,21.0,3.0,4009,704
03,0,2022-11-27,56,3,50.0,3.0,0.0,5403,892
03,1,2022-11-27,25,2,22.0,1.0,0.0,2571,507
03,2,2022-11-27,31,1,28.0,2.0,0.0,2770,373
04,0,2022-11-27,88,1,33.0,54.0,0.0,2401,377
04,1,2022-11-27,43,1,17.0,25.0,0.0,1167,217
04,2,2022-11-27,44,0,16.0,28.0,0.0,1198,152
05,0,2022-11-27,90,4,48.0,38.0,0.0,2787,388
05,1,2022-11-27,36,3,15.0,18.0,0.0,1383,219
05,2,2022-11-27,54,1,33.0,20.0,0.0,1378,166
06,0,2022-11-27,318,17,174.0,112.0,15.0,13166,2542
06,1,2022-11-27,135,10,76.0,42.0,7.0,6550,1466
06,2,2022-11-27,173,6,96.0,63.0,8.0,6389,1037
07,0,2022-11-27,34,0,25.0,9.0,0.0,4028,657
07,1,2022-11-27,18,0,14.0,4.0,0.0,1908,384
07,2,2022-11-27,16,0,11.0,5.0,0.0,2074,269
08,0,2022-11-27,204,0,113.0,77.0,14.0,2223,526
08,1,2022-11-27,92,0,52.0,32.0,8.0,1067,295
08,2,2022-11-27,111,0,60.0,45.0,6.0,1139,229
09,0,2022-11-27,27,4,16.0,7.0,0.0,1346,237
09,1,2022-11-27,14,3,9.0,2.0,0.0,658,123
09,2,2022-11-27,13,1,7.0,5.0,0.0,681,114
10,0,2022-11-27,50,4,36.0,7.0,3.0,3421,605
10,1,2022-11-27,34,4,26.0,3.0,1.0,1695,355
10,2,2022-11-27,15,0,10.0,3.0,2.0,1706,247
11,0,2022-11-27,102,2,52.0,44.0,4.0,3288,643
11,1,2022-11-27,44,1,25.0,16.0,2.0,1620,371
11,2,2022-11-27,57,1,26.0,28.0,2.0,1632,255
12,0,2022-11-27,72,2,40.0,29.0,1.0,2534,420
12,1,2022-11-27,29,0,18.0,10.0,1.0,1257,251
12,2,2022-11-27,42,2,22.0,18.0,0.0,1246,164
13,0,2022-11-27,626,42,342.0,236.0,6.0,44283,5928
13,1,2022-11-27,285,26,163.0,92.0,4.0,21938,3451
13,2,2022-11-27,335,16,177.0,140.0,2.0,21984,2433
14,0,2022-11-27,124,4,109.0,9.0,2.0,6687,977
14,1,2022-11-27,61,2,55.0,2.0,2.0,3145,543
14,2,2022-11-27,55,2,46.0,7.0,0.0,3403,419
